edge_id,std_dev
892-1970,0.070793584
1841-1970,0.031379364
1789-1973,0.044767078
217-1972,0.050434217
25-1972,0.1069715
500-1973,0.074744456
1289-1972,0.08427172
1839-1972,0.036682654
682-1972,0.06647608
185-1972,0.05504253
1570-1972,0.062490307
1016-1972,0.03038139
654-1972,0.06319626
461-1972,0.094017796
1665-1972,0.0435807
204-1976,0.041020647
319-1976,0.04403984
229-1976,0.04562657
404-1974,0.122314945
757-1975,0.047445115
67-1980,0.041760717
281-1983,0.14980842
919-1980,0.04274025
178-1980,0.042093847
55-1980,0.04221742
1588-1979,0.05269214
480-1980,0.042169746
766-1980,0.050695486
1180-1980,0.1290719
753-1983,0.042915888
727-1982,0.06972964
24-1980,0.041882362
1374-1977,0.052958857
1183-1979,0.064844124
284-1981,0.045500834
959-1977,0.060154878
467-1977,0.04045566
464-1977,0.062469117
216-1977,0.05755751
1077-1982,0.06318661
409-1977,0.04585638
1268-1981,0.056284316
999-1981,0.08210923
180-1983,0.052024625
226-1981,0.043869976
1175-1979,0.033143785
79-1987,0.04686438
284-1987,0.04060168
537-1987,0.0639472
1150-1987,0.060783796
1469-1987,0.076311834
415-1987,0.0758398
1935-1987,0.0409055
1254-1985,0.07283423
1600-1985,0.041186947
1633-1985,0.03363659
1658-1985,0.08758089
1985-2484,0.08889297
452-1985,0.041500017
104-1992,0.04694455
1288-1990,0.040600285
1027-1995,0.044142734
748-1990,0.042353343
1309-1997,0.03453552
1290-1997,0.06515507
359-1991,0.057129655
565-1991,0.05266613
607-1991,0.039830115
1458-1997,0.043199085
1042-1990,0.04103288
338-1991,0.043505628
104-1991,0.044173602
391-1993,0.041758653
1319-1991,0.0372021
546-1993,0.064467736
992-1997,0.038822662
1074-1993,0.04281434
1019-1993,0.12362611
470-1989,0.050026257
616-1989,0.049205527
338-1992,0.049757812
1885-1996,0.060307655
1856-1996,0.034808096
1456-1996,0.0477819
2-1993,0.050760806
435-1996,0.048268005
37-1996,0.073492534
1883-1995,0.045873567
625-1995,0.09547234
1138-1993,0.043482993
196-1995,0.085489355
1341-1993,0.043157004
1211-1996,0.08033873
55-2001,0.04237532
169-2001,0.04143708
178-2001,0.040990774
826-2005,0.041686885
816-2005,0.042479895
66-2005,0.11734996
67-2001,0.04201357
974-2000,0.06491654
179-2001,0.042229224
1927-2000,0.064015284
739-2005,0.05241062
1104-2000,0.06667848
587-1998,0.047477443
1070-2000,0.0938994
84-1999,0.051315904
983-2000,0.07118159
118-1999,0.04269266
687-2000,0.04616575
977-2000,0.11219787
981-2000,0.11502488
1345-2000,0.082132734
116-2008,0.07433482
482-2008,0.049414337
748-2009,0.042594485
942-2009,0.04716412
1197-2009,0.04452437
262-2006,0.04802574
483-2008,0.046015613
113-2008,0.049993675
1591-2011,0.059856843
870-2011,0.08514691
181-2011,0.13783208
1751-2009,0.041021198
9-2012,0.042139955
177-2012,0.06951704
516-2012,0.12684791
604-2012,0.04176785
734-2012,0.060704924
259-2012,0.15304038
741-2013,0.040379096
253-2014,0.043041714
634-2014,0.06737232
452-2015,0.040720414
786-2015,0.042326726
597-2015,0.03935316
994-2016,0.13263918
18-2018,0.03834269
204-2018,0.043323077
353-2015,0.042306706
100-2018,0.07025313
1925-2015,0.10820689
229-2018,0.052879617
1162-2015,0.040065117
319-2018,0.04553516
1777-2017,0.05928377
289-2018,0.050554216
186-2021,0.053765126
968-2020,0.048226826
826-2023,0.04232313
470-2025,0.056646466
900-2023,0.04079708
1661-2023,0.04577929
692-2023,0.04036238
484-2023,0.07711936
225-2023,0.0577843
816-2023,0.041719828
1332-2028,0.046000622
692-2032,0.043478608
1136-2027,0.05545634
562-2032,0.047513105
1372-2027,0.07276137
101-2028,0.07469413
414-2028,0.058807116
1511-2028,0.046334997
624-2031,0.09899445
1066-2030,0.036058642
210-2029,0.045274124
1246-2030,0.06378823
180-2032,0.05225638
766-2032,0.0607452
737-2031,0.080509104
985-2031,0.072163165
299-2030,0.045306366
39-2029,0.044144057
71-2029,0.06528213
136-2029,0.042324632
1194-2027,0.077529855
180-2031,0.046997014
1210-2032,0.06909787
1634-2029,0.050577752
1572-2029,0.06373885
1093-2029,0.0446951
703-2029,0.0644079
572-2029,0.042976744
354-2031,0.042223383
422-2029,0.04322667
385-2029,0.044987395
346-2029,0.085790366
585-2031,0.07604406
333-2029,0.043244306
446-2029,0.044965856
24-2031,0.04238385
315-2029,0.043377854
304-2038,0.031342812
474-2035,0.047728647
638-2038,0.035714827
465-2040,0.06799306
418-2040,0.083739445
363-2040,0.08997996
1712-2039,0.045637716
640-2045,0.04517367
748-2044,0.043766234
268-2045,0.0417746
279-2044,0.101418704
452-2045,0.041821647
826-2042,0.04285301
1873-2045,0.0447969
504-2043,0.12328997
726-2044,0.041998662
119-2042,0.042640317
69-2043,0.06143779
279-2043,0.08946759
900-2042,0.04417821
70-2043,0.057928517
627-2047,0.053867087
1565-2047,0.05542162
1259-2046,0.032135244
634-2046,0.05995528
39-2048,0.043225314
1093-2048,0.048562814
1120-2048,0.057033468
312-2049,0.03363937
253-2046,0.04390364
352-2053,0.026816389
554-2057,0.05024231
853-2053,0.04321835
596-2057,0.1250365
216-2057,0.068152376
52-2056,0.042862225
691-2055,0.06338454
391-2057,0.040982325
1689-2058,0.041330278
1112-2057,0.044830028
1491-2058,0.044161167
910-2058,0.05215655
804-2058,0.042108867
452-2058,0.04231094
52-2058,0.042277932
1237-2053,0.062460423
253-2059,0.04464611
897-2061,0.06270985
1761-2061,0.04031726
1850-2064,0.056808464
956-2064,0.04026385
1809-2064,0.045069944
1388-2061,0.040985614
757-2063,0.045727104
1200-2062,0.04278174
833-2064,0.09055625
1724-2069,0.058954563
816-2065,0.042369697
73-2069,0.040983368
821-2067,0.024582788
55-2069,0.042031128
692-2069,0.041030116
658-2065,0.052802138
870-2069,0.15300198
880-2069,0.04115986
1274-2069,0.1309685
1667-2069,0.0817642
294-2067,0.044416927
1509-2065,0.16653502
104-2067,0.048490807
900-2065,0.04262738
448-2065,0.055063844
129-2065,0.04334844
826-2065,0.040982027
52-2065,0.041883115
58-2065,0.09593215
1393-2065,0.063870735
1661-2065,0.041283082
66-2065,0.052023474
226-2067,0.042831272
299-2074,0.052241698
281-2076,0.08797017
627-2074,0.049066965
192-2074,0.041995566
1225-2074,0.047955792
1591-2076,0.033895757
